FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3136594,3424,10000,0.044,33554432,4,8,8,0,1132.9837,72.32006216,4/10/15,17:06.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,8,16,0,1143.44328,71.65851808,4/10/15,18:19.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,8,32,0,1283.595343,63.83433199,4/10/15,19:30.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,16,1,0,1631.53417,50.22111797,4/10/15,20:34.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,16,2,0,1510.369524,54.24994493,4/10/15,21:24.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,16,4,0,236.3023902,346.7481461,4/10/15,22:18.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,16,8,0,1741.064903,47.06170511,4/10/15,28:05.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,16,16,0,1803.617805,45.42952299,4/10/15,28:52.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,16,32,0,1657.842325,49.42417097,4/10/15,29:38.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,32,1,0,2405.502694,34.06252885,4/10/15,30:27.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,32,2,0,2466.859041,33.21531105,4/10/15,31:01.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,32,4,0,2448.949964,33.4582212,4/10/15,31:34.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,32,8,0,2333.750107,35.109797,4/10/15,32:08.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,32,16,0,2467.467145,33.2071321,4/10/15,32:43.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,4,32,32,0,2299.356783,35.63496399,4/10/15,33:16.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,1,1,0,634.4501541,129.147151,4/10/15,33:52.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,1,2,0,595.8039197,137.524194,4/10/15,36:01.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,1,4,0,483.872769,169.336735,4/10/15,38:19.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,1,8,0,759.4234159,107.894309,4/10/15,41:08.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,1,16,0,659.96616,124.153996,4/10/15,42:56.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,1,32,0,591.5709326,138.5082092,4/10/15,45:00.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,2,1,0,657.8095833,124.5610368,4/10/15,47:18.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,2,2,0,503.3781603,162.7750912,4/10/15,49:23.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,2,4,0,433.0737777,189.199687,4/10/15,52:06.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,2,8,0,607.1459576,134.9550788,4/10/15,55:15.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,2,16,0,747.4081299,109.628813,4/10/15,57:30.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,2,32,0,476.7012224,171.8842649,4/10/15,59:20.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,4,1,0,822.8767935,99.57437396,4/10/15,02:11.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,4,2,0,915.3447164,89.51539493,4/10/15,03:51.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,4,4,0,823.7350641,99.47062302,4/10/15,05:20.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,4,8,0,1025.242282,79.92008209,4/10/15,07:00.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,4,16,0,842.7807809,97.22272301,4/10/15,08:20.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,4,32,0,922.029769,88.86643887,4/10/15,09:57.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,8,1,0,1166.381891,70.24927998,4/10/15,11:26.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,8,2,0,1261.767735,64.93863988,4/10/15,12:36.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,8,4,0,1312.401362,62.43322706,4/10/15,13:41.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,8,8,0,1203.410079,68.08772302,4/10/15,14:44.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,8,16,0,1391.66076,58.87746596,4/10/15,15:52.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,8,32,0,1117.781337,73.30365205,4/10/15,16:51.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,16,1,0,1839.573767,44.54158902,4/10/15,18:04.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,16,2,0,1827.890271,44.82626319,4/10/15,18:48.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,16,4,0,1750.859586,46.79842997,4/10/15,19:33.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,16,8,0,1870.85176,43.79688597,4/10/15,20:20.5,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,16,16,0,1806.426168,45.35890388,4/10/15,21:04.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,16,32,0,1734.973363,47.22694588,4/10/15,21:49.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,32,1,0,2244.6885,36.5028379,4/10/15,22:36.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,32,2,0,2489.100147,32.91853714,4/10/15,23:13.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,32,4,0,2315.686773,35.3836689,4/10/15,23:46.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,32,8,0,2436.159421,33.63388419,4/10/15,24:21.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,32,16,0,2256.609023,36.31001115,4/10/15,24:55.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,8,32,32,0,2470.204256,33.17033505,4/10/15,25:31.6,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,1,1,0,620.1935979,132.1158969,4/10/15,26:04.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,1,2,0,435.5995553,188.1026349,4/10/15,28:16.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,1,4,0,511.5293638,160.1812789,4/10/15,31:25.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,1,8,0,911.7229636,89.87099218,4/10/15,34:05.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,1,16,0,563.8866826,145.308322,4/10/15,35:35.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,1,32,0,399.8279342,204.931715,4/10/15,38:00.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,2,1,0,541.2349272,151.3897629,4/10/15,41:25.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,2,2,0,623.8349592,131.344728,4/10/15,43:56.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,2,4,0,629.2814074,130.2079639,4/10/15,46:08.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,2,8,0,575.1793189,142.455488,4/10/15,48:18.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,2,16,0,533.987662,153.444418,4/10/15,50:40.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,2,32,0,753.9038049,108.684206,4/10/15,53:14.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,4,1,0,822.6566601,99.60104895,4/10/15,55:02.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,4,2,0,1112.861172,73.62774086,4/10/15,56:42.4,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,4,4,0,753.3775085,108.7601299,4/10/15,57:56.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,4,8,0,915.4435768,89.50572705,4/10/15,59:44.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,4,16,0,910.6273656,89.9791131,4/10/15,01:14.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,4,32,0,849.7119133,96.42967486,4/10/15,02:44.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,8,1,0,1231.409099,66.53960204,4/10/15,04:20.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,8,2,0,1300.568132,63.00127482,4/10/15,05:27.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,8,4,0,1178.83616,69.50707388,4/10/15,06:30.3,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,8,8,0,1386.461444,59.09826112,4/10/15,07:39.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,8,16,0,1322.736999,61.94538784,4/10/15,08:38.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,8,32,0,1257.72362,65.14742398,4/10/15,09:40.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,16,1,0,1554.139591,52.72211194,4/10/15,10:46.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,16,2,0,1806.443173,45.35854387,4/10/15,11:38.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,16,4,0,1814.779893,45.15009379,4/10/15,12:24.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,16,8,0,1829.617888,44.78392911,4/10/15,13:09.2,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,16,16,0,1814.763411,45.15050197,4/10/15,13:54.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,16,32,0,1717.948657,47.69495177,4/10/15,14:39.1,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,32,1,0,2144.602739,38.20637393,4/10/15,15:26.8,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,32,2,0,2287.794965,35.81505203,4/10/15,16:05.0,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,32,4,0,2272.857122,36.05047417,4/10/15,16:40.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,32,8,0,2577.284539,31.79218388,4/10/15,17:16.9,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,32,16,0,2308.65126,35.491539,4/10/15,17:48.7,Stampede,Blacklight
3136594,3424,10000,0.044,33554432,16,32,32,0,2178.713674,37.60823298,4/10/15,18:24.2,Stampede,Blacklight
