FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination,Note
104857664,64,10000000000,0.04,33554432,2,2,32,1,1310.087897,39.08141017,11/5/14,59:02.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,2,32,0,1078.000154,47.49542904,11/5/14,59:41.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,1,1,1574.175246,32.52503204,11/5/14,00:28.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,1,0,1690.930602,30.27924514,11/5/14,01:01.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,2,1,1482.523493,34.53577304,11/5/14,01:31.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,2,0,1361.638889,37.60181117,11/5/14,02:06.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,4,1,1422.568616,35.991292,11/5/14,02:43.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,4,0,1339.288183,38.22936511,11/5/14,03:19.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,8,1,1178.633093,43.44022202,11/5/14,03:58.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,8,0,1442.318062,35.49847698,11/5/14,04:41.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,16,1,1173.355228,43.63561797,11/5/14,05:17.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,16,0,676.4149166,75.69327092,11/5/14,06:00.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,32,1,1023.931206,50.00342989,11/5/14,07:16.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,4,32,0,868.3111216,58.96511507,11/5/14,08:06.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,1,1,2067.918048,24.75929093,11/5/14,09:05.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,1,0,2112.6176,24.23540306,11/5/14,09:30.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,2,1,1790.750306,28.59142804,11/5/14,09:54.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,2,0,1747.529847,29.29855084,11/5/14,10:22.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,4,1,1579.527775,32.41481709,11/5/14,10:52.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,4,0,1672.977889,30.60416794,11/5/14,11:24.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,8,1,1455.124134,35.18609905,11/5/14,11:55.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,8,0,1069.773673,47.8606739,11/5/14,12:30.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,16,1,1382.05217,37.04641795,11/5/14,13:18.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,16,0,1506.38845,33.98863506,11/5/14,13:55.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,32,1,1197.407559,42.75910497,11/5/14,14:29.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,8,32,0,723.2279151,70.79380488,11/5/14,15:12.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,1,1,2415.152684,21.19954085,11/5/14,16:22.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,1,0,2122.584013,24.12160587,11/5/14,16:44.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,2,1,1933.425886,26.48157597,11/5/14,17:08.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,2,0,1773.366749,28.87169504,11/5/14,17:34.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,4,1,1904.948396,26.87743092,11/5/14,18:03.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,4,0,1984.096057,25.8052609,11/5/14,18:30.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,8,1,1262.526413,40.55367279,11/5/14,18:56.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,8,0,2171.293562,23.58049989,11/5/14,19:36.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,16,1,1085.014598,47.18838787,11/5/14,20:00.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,16,0,1310.936156,39.05615807,11/5/14,20:47.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,32,1,625.6800538,81.83106184,11/5/14,21:26.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,16,32,0,1466.53077,34.91238809,11/5/14,22:48.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,1,1,2721.811765,18.81105208,11/5/14,23:23.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,1,0,2526.866377,20.26230907,11/5/14,23:42.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,2,1,2569.76901,19.9240551,11/5/14,24:02.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,2,0,2561.408434,19.98909497,11/5/14,24:22.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,4,1,2019.319004,25.35513401,11/5/14,24:42.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,4,0,1634.889739,31.31715894,11/5/14,25:07.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,8,1,1903.109452,26.90339422,11/5/14,25:39.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,8,0,1234.828322,41.46335912,11/5/14,26:05.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,16,1,1776.225954,28.82522392,11/5/14,26:47.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,16,0,1484.482585,34.4901998,11/5/14,27:16.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,32,1,1902.665186,26.90971398,11/5/14,27:50.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,2,32,32,0,2137.324481,23.95525503,11/5/14,28:17.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,1,1,701.4403402,72.99274087,11/5/14,28:41.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,1,0,1173.431409,43.63278604,11/5/14,29:54.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,2,1,544.9590906,93.95210695,11/5/14,30:38.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,2,0,1413.669486,36.21786785,11/5/14,32:12.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,4,1,780.8580704,65.56897116,11/5/14,32:48.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,4,0,1108.288297,46.19743705,11/5/14,33:54.0,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,8,1,514.2018367,99.57189894,11/5/14,34:40.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,8,0,722.8118506,70.83455801,11/5/14,36:19.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,16,1,361.1702669,141.7615201,11/5/14,37:30.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,16,0,478.2015041,107.0679429,11/5/14,39:52.3,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,32,1,979.5483106,52.26906419,11/5/14,41:39.4,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,1,32,0,526.5108617,97.24406099,11/5/14,42:31.7,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,1,1,1026.841897,49.86169314,11/5/14,44:08.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,1,0,748.0222679,68.44723797,11/5/14,44:58.8,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,2,1,877.9348161,58.31875801,11/5/14,46:07.2,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,2,0,834.2436885,61.37303305,11/5/14,47:05.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,4,1,928.6889101,55.13155913,11/5/14,48:06.9,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,4,0,644.3848339,79.45574498,11/5/14,49:02.1,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,8,1,1277.417624,40.08092785,11/5/14,50:21.5,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,8,0,1248.07006,41.02340198,11/5/14,51:01.6,Stampede,Gordon/Oasis,
104857664,64,10000000000,0.04,33554432,4,2,16,1,806.0389434,63.52058387,11/5/14,51:42.6,Stampede,Gordon/Oasis,
